exercise_id,exercise_name_de,equipment_id,equipment_name_de,is_primary_equipment,requirement_order,default_available,selection_group
EX000001,Air Bike moderat,AIR_BIKE,Air Bike,True,1,False,Cardiogeräte
EX000002,Air Bike Sprint,AIR_BIKE,Air Bike,True,1,False,Cardiogeräte
EX000003,Aquajogging,POOL,Schwimmbecken,True,1,False,Schwimmen
EX000004,Bergauflauf im Freien,OUTDOOR,Outdoor-Strecke,True,1,False,Outdoor
EX000005,Crosstrainer rückwärts,ELLIPTICAL,Crosstrainer,True,1,False,Cardiogeräte
EX000006,Crosstrainer vorwärts,ELLIPTICAL,Crosstrainer,True,1,False,Cardiogeräte
EX000007,Ergometer im Stehen,BIKE,Fahrradergometer/Spinning-Bike,True,1,False,Cardiogeräte
EX000008,Ergometer locker,BIKE,Fahrradergometer/Spinning-Bike,True,1,False,Cardiogeräte
EX000009,Ergometer moderat,BIKE,Fahrradergometer/Spinning-Bike,True,1,False,Cardiogeräte
EX000010,Ergometer-Sprint,BIKE,Fahrradergometer/Spinning-Bike,True,1,False,Cardiogeräte
EX000011,Gehen im Freien,OUTDOOR,Outdoor-Strecke,True,1,False,Outdoor
EX000012,Joggen im Freien,OUTDOOR,Outdoor-Strecke,True,1,False,Outdoor
EX000013,Laufband-Gehen,TREADMILL,Laufband,True,1,False,Cardiogeräte
EX000014,Laufband-Gehen mit Steigung,TREADMILL,Laufband,True,1,False,Cardiogeräte
EX000015,Laufband-Joggen,TREADMILL,Laufband,True,1,False,Cardiogeräte
EX000016,Laufband-Laufen,TREADMILL,Laufband,True,1,False,Cardiogeräte
EX000017,Laufband-Schlittenmodus,TREADMILL,Laufband,True,1,False,Cardiogeräte
EX000018,Laufband-Sprint,TREADMILL,Laufband,True,1,False,Cardiogeräte
EX000019,Laufen im Freien,OUTDOOR,Outdoor-Strecke,True,1,False,Outdoor
EX000020,Nordic-Walking ohne spezifische Stöcke,OUTDOOR,Outdoor-Strecke,True,1,False,Outdoor
EX000021,Ruderergometer locker,ROWER,Ruderergometer,True,1,False,Cardiogeräte
EX000022,Ruderergometer moderat,ROWER,Ruderergometer,True,1,False,Cardiogeräte
EX000023,Ruderergometer Sprint,ROWER,Ruderergometer,True,1,False,Cardiogeräte
EX000024,Schwimmen Brust,POOL,Schwimmbecken,True,1,False,Schwimmen
EX000025,Schwimmen Freistil,POOL,Schwimmbecken,True,1,False,Schwimmen
EX000026,Schwimmen Rücken,POOL,Schwimmbecken,True,1,False,Schwimmen
EX000027,Schwimmen Schmetterling,POOL,Schwimmbecken,True,1,False,Schwimmen
EX000028,SkiErg alternierend,SKI_ERG,SkiErg,True,1,False,Cardiogeräte
EX000029,SkiErg beidarmig,SKI_ERG,SkiErg,True,1,False,Cardiogeräte
EX000030,SkiErg im Kniestand,SKI_ERG,SkiErg,True,1,False,Cardiogeräte
EX000030,SkiErg im Kniestand,MAT,Trainingsmatte,False,2,False,Kleinzubehör
EX000031,Sprint im Freien,OUTDOOR,Outdoor-Strecke,True,1,False,Outdoor
EX000032,Treppensteiger moderat,STAIR_CLIMBER,Stair Climber/Stepper,True,1,False,Cardiogeräte
EX000033,Treppensteiger schnell,STAIR_CLIMBER,Stair Climber/Stepper,True,1,False,Cardiogeräte
EX000034,Wandern,OUTDOOR,Outdoor-Strecke,True,1,False,Outdoor
EX000035,Zügiges Gehen im Freien,OUTDOOR,Outdoor-Strecke,True,1,False,Outdoor
EX000036,Bear-Hug Carry mit Sandsack,SANDBAG,Sandsack (Training),True,1,False,Functional Training
EX000037,Bottom-up Kettlebell Carry,KETTLEBELL,Kettlebell(s),True,1,False,Kettlebell
EX000038,Einarmiger Overhead Carry mit Kettlebell,KETTLEBELL,Kettlebell(s),True,1,False,Kettlebell
EX000039,Einarmiger Overhead Carry mit Kurzhantel,DUMBBELL,Kurzhantel(n),True,1,False,Kurzhanteln
EX000040,Farmer's March auf der Stelle,DUMBBELL,Kurzhantel(n),True,1,False,Kurzhanteln
EX000041,Farmer's Walk auf Zehenspitzen,DUMBBELL,Kurzhantel(n),True,1,False,Kurzhanteln
EX000042,Farmer's Walk mit Farmer Handles,FARMER_HANDLES,Farmer-Walk-Griffe,True,1,False,Strongman/Functional
EX000042,Farmer's Walk mit Farmer Handles,PLATES,Hantelscheiben,False,2,False,Langhantel
EX000043,Farmer's Walk mit Griffverdickung,DUMBBELL,Kurzhantel(n),True,1,False,Kurzhanteln
EX000043,Farmer's Walk mit Griffverdickung,FAT_GRIP,Griffverdickung,False,2,False,Kleingeräte
EX000044,Farmer's Walk mit Kettlebells,KETTLEBELL,Kettlebell(s),True,1,False,Kettlebell
EX000045,Farmer's Walk mit Kurzhanteln,DUMBBELL,Kurzhantel(n),True,1,False,Kurzhanteln
EX000046,Farmer's Walk mit Trap Bar,TRAP_BAR,Trap-/Hex-Bar,True,1,False,Spezialhanteln
EX000046,Farmer's Walk mit Trap Bar,PLATES,Hantelscheiben,False,2,False,Langhantel
EX000047,Front-Rack Carry mit einer Kettlebell,KETTLEBELL,Kettlebell(s),True,1,False,Kettlebell
EX000048,Front-Rack Carry mit Langhantel,BARBELL,Langhantel,True,1,False,Langhantel
EX000048,Front-Rack Carry mit Langhantel,PLATES,Hantelscheiben,False,2,False,Langhantel
EX000048,Front-Rack Carry mit Langhantel,RACK,Kniebeugenständer/Power Rack,False,3,False,Langhantel mit Rack
EX000049,Front-Rack Carry mit zwei Kettlebells,KETTLEBELL,Kettlebell(s),True,1,False,Kettlebell
EX000050,Front-Rack March auf der Stelle,KETTLEBELL,Kettlebell(s),True,1,False,Kettlebell
EX000051,Goblet Carry mit Kettlebell,KETTLEBELL,Kettlebell(s),True,1,False,Kettlebell
EX000052,Goblet Carry mit Kurzhantel,DUMBBELL,Kurzhantel(n),True,1,False,Kurzhanteln
EX000053,Hantelscheiben Carry vor der Brust,PLATES,Hantelscheiben,True,1,False,Langhantel
EX000054,Koffer-und-Overhead-Carry,KETTLEBELL,Kettlebell(s),True,1,False,Kettlebell
EX000055,Kreuzgriff-Carry mit zwei unterschiedlichen Lasten,DUMBBELL,Kurzhantel(n),True,1,False,Kurzhanteln
EX000056,Langhantel-Overhead-Carry,BARBELL,Langhantel,True,1,False,Langhantel
EX000056,Langhantel-Overhead-Carry,PLATES,Hantelscheiben,False,2,False,Langhantel
EX000056,Langhantel-Overhead-Carry,RACK,Kniebeugenständer/Power Rack,False,3,False,Langhantel mit Rack
EX000057,Medizinball Bear-Hug Carry,MED_BALL,Medizinball,True,1,False,Functional Training
EX000058,Overhead Carry mit Kettlebells,KETTLEBELL,Kettlebell(s),True,1,False,Kettlebell
EX000059,Overhead Carry mit Kurzhanteln,DUMBBELL,Kurzhantel(n),True,1,False,Kurzhanteln
EX000060,Pinch-Block Carry,PINCH_BLOCK,Pinch-Block,True,1,False,Kleingeräte
EX000060,Pinch-Block Carry,PLATES,Hantelscheiben,False,2,False,Langhantel
