sheet,field_order,field_name,data_type,allowed_values,description_de
Uebungen,1,exercise_id,string,,Stabile laufende ID dieser Version.
Uebungen,2,canonical_key,string,,Technischer Schlüssel aus deutschem Slug und Equipment-Kombination.
Uebungen,3,name_de,string,,Deutscher Anzeigename der Übungsvariante.
Uebungen,4,name_en,string,,Englischer Referenzname.
Uebungen,5,aliases_de,string,,"Alternative deutsche Namen, mit | getrennt."
Uebungen,6,aliases_en,string,,"Alternative englische Namen, mit | getrennt."
Uebungen,7,search_terms,string,,Vorbereiteter Suchtext für Volltextsuche.
Uebungen,8,family_id,string,,ID der übergeordneten Übungsfamilie.
Uebungen,9,family_de,string,,Deutscher Name der Übungsfamilie.
Uebungen,10,category_id,string,siehe Taxonomie,"Hauptkategorie: strength, power, plyometric, core, conditioning, cardio, mobility oder prehab."
Uebungen,11,category_de,string,,Deutsche Hauptkategorie.
Uebungen,12,pattern_id,string,siehe Taxonomie,Bewegungsmuster für Planbalance und Filter.
Uebungen,13,pattern_de,string,,Deutscher Name des Bewegungsmusters.
Uebungen,14,force_id,string,siehe Taxonomie,Überwiegende Kraftart/Aktion.
Uebungen,15,force_de,string,,Deutsche Kraftart.
Uebungen,16,mechanic_id,string,siehe Taxonomie,"Mechanik: mehrgelenkig, eingelenkig, isometrisch, zyklisch, Mobilität oder komplex."
Uebungen,17,mechanic_de,string,,Deutsche Mechanik.
Uebungen,18,is_compound,boolean,,Mechanik mehrgelenkig/komplex/zyklisch und mindestens zwei dynamische Gelenke.
Uebungen,19,compound_class_de,string,,"Lesbare Compound-Klasse; Mobilität, Isolation und Isometrie werden separat behandelt."
Uebungen,20,primary_muscle_id,string,,Primäre Muskelgruppen-ID.
Uebungen,21,primary_muscle_de,string,,Primäre Muskelgruppe auf Deutsch.
Uebungen,22,primary_muscle_size_1_5,integer,1–5,Grobe redaktionelle Grössenklasse der primären Muskelgruppe.
Uebungen,23,primary_muscle_size_class,string,,Textklasse zur Muskelgrösse.
Uebungen,24,secondary_muscle_ids,string,,"Sekundäre Muskel-IDs, mit | getrennt."
Uebungen,25,secondary_muscles_de,string,,Sekundäre Muskeln auf Deutsch.
Uebungen,26,secondary_muscle_count,integer,,Anzahl sekundärer Muskelgruppen.
Uebungen,27,body_region,string,,Körperregion der primären Muskelgruppe.
Uebungen,28,required_equipment_ids,string,,"ALLE benötigten Equipment-IDs, mit | getrennt."
Uebungen,29,required_equipment_de,string,,Benötigtes Equipment auf Deutsch.
Uebungen,30,equipment_count,integer,,Anzahl benötigter Equipment-Typen.
Uebungen,31,primary_equipment_id,string,,Primäres Equipment für Gruppierung/Anzeige.
Uebungen,32,primary_equipment_de,string,,Primäres Equipment auf Deutsch.
Uebungen,33,dynamic_joints_count,integer,,Redaktionell geschätzte Anzahl dynamisch beteiligter Hauptgelenke.
